,open,high,low,close,adjusted_close,volume,dividend
2024-07-26,227.01,227.78,214.62,217.96,217.96,242848766.0,0.0
2024-07-19,236.48,237.23,222.27,224.31,224.31,278397452.0,0.0
2024-07-12,227.09,233.08,223.25,230.54,230.54,287640514.0,0.0
2024-07-05,212.09,226.45,211.92,226.34,226.34,216231316.0,0.0
2024-06-28,207.72,216.07,206.59,210.62,210.62,335969485.0,0.0
2024-06-21,213.37,218.95,207.11,207.49,207.49,506265358.0,0.0
2024-06-14,196.9,220.2,192.15,212.49,212.49,635755143.0,0.0
2024-06-07,192.9,196.94,192.52,196.89,196.89,245994434.0,0.0
2024-05-31,191.51,193.0,189.1,192.25,192.25,230454285.0,0.0
2024-05-24,189.325,192.8231,186.625,189.98,189.98,208652122.0,0.0
2024-05-17,185.435,191.095,184.62,189.87,189.87,288966571.0,0.0
2024-05-10,182.354,185.09,180.42,183.05,183.05,300674993.0,0.25
2024-05-03,173.37,187.0,169.11,183.38,183.1299,441926366.0,0.0
2024-04-26,165.515,171.34,164.77,169.3,169.0691,241302722.0,0.0
2024-04-19,175.36,176.63,164.075,165.0,164.775,309416498.0,0.0
2024-04-12,169.03,178.36,167.11,176.55,176.3092,321898799.0,0.0
2024-04-05,171.19,171.92,168.2302,169.58,169.3487,233688457.0,0.0
2024-03-28,170.565,173.6,169.45,171.48,171.2461,237622732.0,0.0
2024-03-22,175.57,178.67,170.06,172.28,172.045,361583938.0,0.0
2024-03-15,172.94,174.38,170.285,172.62,172.3846,364748130.0,0.0
2024-03-08,176.15,176.9,168.49,170.73,170.4971,393262265.0,0.0
2024-03-01,182.24,183.9225,177.38,179.66,179.415,354385890.0,0.0
2024-02-23,181.79,185.04,180.0,182.52,182.2711,192607112.0,0.0
2024-02-16,188.415,188.67,181.35,182.31,182.0614,268128941.0,0.0
2024-02-09,188.15,191.05,185.84,188.85,188.5924,252715796.0,0.24
2024-02-02,192.01,192.2,179.25,185.85,185.361,325909883.0,0.0
2024-01-26,192.3,196.38,191.94,192.42,191.9137,255368848.0,0.0
2024-01-19,182.16,191.95,180.3,191.56,191.0559,259829213.0,0.0
2024-01-12,182.085,187.05,181.5,185.92,185.4308,238385377.0,0.0
2024-01-05,187.15,188.44,180.17,181.18,180.7032,275083628.0,0.0
2023-12-29,193.61,194.66,191.09,192.53,192.0234,153541162.0,0.0
2023-12-22,196.09,197.68,192.97,193.6,193.0906,231859933.0,0.0
2023-12-15,193.11,199.62,191.42,197.57,197.0501,379414755.0,0.0
2023-12-08,189.98,195.99,187.4511,195.71,195.195,251797045.0,0.0
2023-12-01,189.92,192.09,188.19,191.24,190.7368,216481441.0,0.0
2023-11-24,189.89,192.93,189.25,189.97,189.4701,148351454.0,0.0
2023-11-17,185.82,190.96,184.21,189.69,189.1909,262880715.0,0.0
2023-11-10,176.38,186.565,176.21,186.4,185.9095,303653020.0,0.24
2023-11-03,169.02,177.78,167.9,176.65,175.9586,310075876.0,0.0
2023-10-27,170.91,174.01,165.67,168.22,167.5616,286078102.0,0.0
2023-10-20,176.75,179.075,172.64,172.88,172.2034,288377600.0,0.0
2023-10-13,176.81,182.34,175.8,178.85,178.15,241839090.0,0.0
2023-10-06,171.22,177.99,170.82,177.49,176.7953,260574027.0,0.0
2023-09-29,174.2,176.97,167.62,171.21,170.5399,285838995.0,0.0
2023-09-22,176.48,179.695,173.86,174.79,174.1059,297395196.0,0.0
2023-09-15,180.07,180.3,173.58,175.01,174.325,403746390.0,0.0
2023-09-08,188.28,189.98,173.54,178.18,177.4826,305126712.0,0.0
2023-09-01,180.09,189.92,178.545,189.46,188.7185,264199503.0,0.0
2023-08-25,175.07,181.55,173.735,178.61,177.9109,247514268.0,0.0
2023-08-18,177.97,179.69,171.96,174.49,173.8071,261498109.0,0.0
2023-08-11,182.13,183.13,176.55,177.79,177.0941,332501087.0,0.24
2023-08-04,196.06,196.73,181.92,181.99,181.0333,302694989.0,0.0
2023-07-28,193.41,197.2,192.25,195.83,194.8006,226011789.0,0.0
2023-07-21,191.9,198.23,191.23,191.94,190.931,310914135.0,0.0
2023-07-14,189.26,191.7,186.6,190.69,189.6876,250269110.0,0.0
2023-07-07,193.78,193.88,189.2,190.68,189.6776,170349466.0,0.0
2023-06-30,186.83,194.48,185.23,193.97,192.9504,281596832.0,0.0
2023-06-23,184.41,187.56,182.5901,186.68,185.6987,203677112.0,0.0
2023-06-16,181.27,186.99,180.97,184.92,183.9479,333836397.0,0.0
2023-06-09,182.63,184.951,177.32,180.96,180.0087,347854340.0,0.0
2023-06-02,176.96,181.78,176.57,180.95,179.9988,286176391.0,0.0
2023-05-26,173.98,175.77,170.52,175.43,174.5078,250354916.0,0.0
2023-05-19,173.16,176.39,170.4201,175.16,174.2392,258634688.0,0.0
2023-05-12,172.48,174.59,171.0,172.57,171.6628,250061982.0,0.24
2023-05-05,169.28,174.3,164.31,173.57,172.4178,360723248.0,0.0
2023-04-28,165.0,169.85,162.8,169.68,168.5536,254947569.0,0.0
2023-04-21,165.09,168.16,164.03,165.02,163.9246,249150510.0,0.0
2023-04-14,161.42,166.32,159.78,165.21,164.1133,263326290.0,0.0
2023-04-06,164.27,166.84,161.8,164.66,163.567,200156349.0,0.0
2023-03-31,159.94,165.0,155.98,164.9,163.8054,267939590.0,0.0
2023-03-24,155.07,162.14,154.15,160.25,159.1862,350159914.0,0.0
2023-03-17,147.805,156.74,147.7,155.0,153.9711,410519933.0,0.0
2023-03-10,153.785,156.3,147.6096,148.5,147.5142,313350829.0,0.0
2023-03-03,147.71,151.11,143.9,151.03,150.0274,274036517.0,0.0
2023-02-24,150.2,151.3,145.7202,146.71,145.7361,213742390.0,0.0
2023-02-17,150.952,156.33,150.85,152.55,151.5373,316887898.0,0.0
2023-02-10,152.575,155.23,149.22,151.01,150.0076,330758787.0,0.23
2023-02-03,144.955,157.38,141.32,154.5,153.241,480249683.0,0.0
2023-01-27,138.12,147.23,137.9,145.93,144.7408,338655715.0,0.0
2023-01-20,134.83,138.61,133.77,137.87,136.7465,271823466.0,0.0
2023-01-13,130.465,134.92,128.12,134.76,133.6619,333335284.0,0.0
2023-01-06,130.28,130.9,124.17,129.62,128.5637,369948527.0,0.0
2022-12-30,131.38,131.41,125.87,129.93,128.8712,307184140.0,0.0
2022-12-23,135.11,136.81,129.64,131.86,130.7855,384620427.0,0.0
2022-12-16,142.7,149.9692,133.73,134.51,133.4139,505728804.0,0.0
2022-12-09,147.77,150.9199,140.0,142.16,141.0016,341500071.0,0.0
2022-12-02,145.14,149.13,140.355,147.81,146.6055,401189067.0,0.0
2022-11-25,150.16,151.83,146.925,148.11,146.9031,204025457.0,0.0
2022-11-18,148.97,153.59,146.15,151.29,150.0572,382679685.0,0.0
2022-11-11,137.11,150.01,134.5933,149.7,148.4801,461034592.0,0.0
2022-11-04,153.155,155.45,134.38,138.38,137.2524,510660451.0,0.23
2022-10-28,147.185,157.5,144.13,155.74,154.2146,513092901.0,0.0
2022-10-21,141.065,147.8479,140.27,147.27,145.8275,397216487.0,0.0
2022-10-14,140.42,144.52,134.37,138.38,137.0246,424188362.0,0.0
2022-10-07,138.21,147.54,137.685,140.09,138.7179,435940423.0,0.0
2022-09-30,149.66,154.72,138.0,138.2,136.8464,577537048.0,0.0
2022-09-23,149.31,158.74,148.56,150.43,148.9566,473155533.0,0.0
2022-09-16,159.59,164.26,148.37,150.7,149.2239,568337936.0,0.0
2022-09-09,156.47,157.82,152.68,157.37,155.8286,313749966.0,0.0
2022-09-02,161.145,162.9,154.67,155.81,154.2839,389809404.0,0.0
2022-08-26,169.69,171.05,163.56,163.62,162.0174,307194601.0,0.0
2022-08-19,171.52,176.15,171.3101,171.52,169.84,322647151.0,0.0
2022-08-12,166.37,172.17,163.25,172.1,170.4143,318856922.0,0.0
2022-08-05,161.01,167.19,159.63,165.35,163.7304,322415021.0,0.23
2022-07-29,154.01,163.63,150.8,162.51,160.6947,370548915.0,0.0
2022-07-22,150.74,156.28,146.7,154.09,152.3688,360988692.0,0.0
2022-07-15,145.67,150.86,142.1201,150.17,148.4926,366480107.0,0.0
2022-07-08,137.77,147.55,136.93,147.04,145.3975,278295402.0,0.0
2022-07-01,142.695,143.49,133.7737,138.93,137.3781,373781666.0,0.0
2022-06-24,133.42,141.91,133.32,141.66,140.0776,315960327.0,0.0
2022-06-17,132.87,137.34,129.04,131.56,130.0905,541006195.0,0.0
2022-06-10,147.03,149.8697,137.06,137.13,135.5982,354396344.0,0.0
2022-06-03,149.07,151.74,144.46,145.38,143.7561,338923395.0,0.0
2022-05-27,137.79,149.68,137.14,149.64,147.9685,495921758.0,0.0
2022-05-20,145.55,149.77,132.61,137.59,136.0531,548244690.0,0.0
2022-05-13,154.925,156.74,138.8,147.11,145.4668,686227375.0,0.0
2022-05-06,156.71,166.48,153.27,157.28,155.5232,566193362.0,0.23
2022-04-29,161.12,166.2,155.38,157.65,155.6614,540082324.0,0.0
2022-04-22,163.92,171.53,161.5,161.79,159.7492,376576076.0,0.0
2022-04-14,168.71,171.27,165.04,165.29,163.205,297460188.0,0.0
2022-04-08,174.57,178.49,169.2,170.09,167.9445,390677922.0,0.0
2022-04-01,172.17,179.61,171.94,174.31,172.1112,465395123.0,0.0
2022-03-25,163.51,175.28,163.015,174.72,172.5161,438484780.0,0.0
2022-03-18,151.45,164.48,150.1,163.98,161.9115,501667481.0,0.0
2022-03-11,163.36,165.02,154.5,154.73,152.7782,521334165.0,0.0
2022-03-04,163.06,168.91,161.97,163.17,161.1118,418753837.0,0.0
2022-02-25,164.98,166.69,152.0,164.85,162.7706,413588646.0,0.0
