,adjusted_close,volume,interest_rate,gdp_growth,unemployment_rate,bond_yield
2024-07-19,224.31,278397452.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-07-12,230.54,287640514.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-07-05,226.34,216231316.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-06-28,210.62,335969485.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-06-21,207.49,506265358.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-06-14,212.49,635755143.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-06-07,196.89,245994434.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-05-31,192.25,230454285.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-05-24,189.98,208652122.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-05-17,189.87,288966571.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-05-10,183.05,300674993.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-05-03,183.1299,441926366.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-04-26,169.0691,241302722.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-04-19,164.775,309416498.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-04-12,176.3092,321898799.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-04-05,169.3487,233688457.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-03-28,171.2461,237622732.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-03-22,172.045,361583938.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-03-15,172.3846,364748130.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-03-08,170.4971,393262265.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-03-01,179.415,354385890.0,5.33,2.876923076923077,3.8,4.21
2024-02-23,182.2711,192607112.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-02-16,182.0614,268128941.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-02-09,188.5924,252715796.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-02-02,185.361,325909883.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-01-26,191.9137,255368848.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-01-19,191.0559,259829213.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-01-12,185.4308,238385377.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2024-01-05,180.7032,275083628.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-12-29,192.0234,153541162.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-12-22,193.0906,231859933.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-12-15,197.0501,379414755.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-12-08,195.195,251797045.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-12-01,190.7368,216481441.0,5.33,2.876923076923077,3.7,4.02
2023-11-24,189.4701,148351454.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-11-17,189.1909,262880715.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-11-10,185.9095,303653020.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-11-03,175.9586,310075876.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-10-27,167.5616,286078102.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-10-20,172.2034,288377600.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-10-13,178.15,241839090.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-10-06,176.7953,260574027.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-09-29,170.5399,285838995.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-09-22,174.1059,297395196.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-09-15,174.325,403746390.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-09-08,177.4826,305126712.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-09-01,188.7185,264199503.0,5.33,2.876923076923077,3.8,4.38
2023-08-25,177.9109,247514268.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-08-18,173.8071,261498109.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-08-11,177.0941,332501087.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
2023-08-04,181.0333,302694989.0,5.33,2.876923076923077,5.726190476190476,3.302619047619048
